NFE, Elapsed Time, Approximation Set, Population, Population Size
57, 1.052739984, "[[0.0,-0.0], [436.0,-1.733845988961419], [268.0,-1.012195513871334], [112.0,-0.668267373931735], [147.0,-0.7853662757263524]]", "[[317.0,-0.07676865671641792], [141.0,-0.2765853658536585], [0.0,-0.0], [147.0,-0.30110728587030006], [128.0,-0.668267373931735], [436.0,-1.733845988961419], [172.0,-0.0], [0.0,-0.0], [0.0,-0.0], [134.0,-0.0], [151.0,-0.2128695652173913], [268.0,-1.012195513871334], [153.0,-0.0], [142.0,-0.0], [0.0,-0.0], [0.0,-0.0], [106.0,-0.0], [308.0,-0.38389827864163506], [0.0,-0.0], [0.0,-0.0], [337.0,-0.3099130434782609], [324.0,-0.0], [168.0,-0.3457719330178376], [175.0,-0.0], [0.0,-0.0], [282.0,-0.0], [112.0,-0.668267373931735], [116.0,-0.1202067868504772], [136.0,-0.0], [151.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [133.0,-0.0], [135.0,-0.0], [135.0,-0.0], [141.0,-0.0], [147.0,-0.7853662757263524], [120.0,-0.0], [452.0,-0.5227826086956522], [114.0,-0.0], [131.0,-0.0], [0.0,-0.0], [114.0,-0.0], [0.0,-0.0], [135.0,-0.0], [294.0,-0.11289051636228795], [143.0,-0.0], [326.0,-0.0], [129.0,-0.0], [281.0,-0.2128695652173913], [261.0,-0.0], [270.0,-0.0], [270.0,-0.7853662757263524], [153.0,-0.0], [0.0,-0.0]]", 57
114, 1.43190393, "[[0.0,-0.0], [436.0,-1.733845988961419], [268.0,-1.012195513871334], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [268.0,-1.012195513871334], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [147.0,-0.7853662757263524], [53.0,-0.0], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [265.0,-0.7853662757263524], [54.0,-0.0], [112.0,-0.668267373931735], [99.0,-0.3099130434782609], [211.0,-0.7356101480176755], [59.0,-0.1202067868504772], [270.0,-0.7853662757263524], [55.0,-0.0], [128.0,-0.668267373931735], [116.0,-0.1202067868504772], [66.0,-0.07676865671641792], [89.0,-0.11289051636228795], [58.0,-0.0], [166.0,-0.668267373931735], [141.0,-0.2765853658536585], [147.0,-0.30110728587030006], [58.0,-0.0], [58.0,-0.0], [333.0,-0.668267373931735], [60.0,-0.0], [308.0,-0.38389827864163506], [151.0,-0.2128695652173913], [168.0,-0.3457719330178376], [60.0,-0.0], [452.0,-0.5227826086956522], [66.0,-0.0], [189.0,-0.31776776246023325], [66.0,-0.0], [66.0,-0.0], [337.0,-0.3099130434782609], [67.0,-0.0]]", 57
171, 1.777673145, "[[0.0,-0.0], [436.0,-1.733845988961419], [240.0,-1.4038775219494106], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [240.0,-1.4038775219494106], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [268.0,-1.012195513871334], [53.0,-0.0], [147.0,-0.7853662757263524], [56.0,-0.668267373931735], [111.0,-0.7356101480176755], [56.0,-0.668267373931735], [54.0,-0.0], [218.0,-0.7853662757263524], [110.0,-0.668267373931735], [99.0,-0.3099130434782609], [211.0,-0.7356101480176755], [59.0,-0.1202067868504772], [54.0,-0.0], [59.0,-0.1202067868504772], [265.0,-0.7853662757263524], [55.0,-0.0], [112.0,-0.668267373931735], [89.0,-0.11289051636228795], [66.0,-0.07676865671641792], [66.0,-0.07676865671641792], [55.0,-0.0], [270.0,-0.7853662757263524], [57.0,-0.0], [128.0,-0.668267373931735], [116.0,-0.274329632326174]]", 57
228, 2.031231495, "[[0.0,-0.0], [436.0,-1.733845988961419], [240.0,-1.4038775219494106], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [240.0,-1.4038775219494106], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [268.0,-1.012195513871334], [51.0,-0.0], [56.0,-0.668267373931735], [147.0,-0.7853662757263524], [111.0,-0.7356101480176755], [141.0,-0.7374539410959141], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [218.0,-0.7853662757263524], [52.0,-0.0], [137.0,-0.7356101480176755], [110.0,-0.668267373931735], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [59.0,-0.1202067868504772], [59.0,-0.1202067868504772], [53.0,-0.0]]", 57
285, 2.2899886350000003, "[[0.0,-0.0], [436.0,-1.733845988961419], [240.0,-1.4038775219494106], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [240.0,-1.4038775219494106], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [51.0,-0.0], [506.0,-1.017666280399246], [268.0,-1.012195513871334], [56.0,-0.668267373931735], [147.0,-0.7853662757263524], [111.0,-0.7356101480176755], [141.0,-0.7374539410959141], [56.0,-0.668267373931735], [56.0,-0.668267373931735]]", 57
342, 2.6069309030000003, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [240.0,-1.4038775219494106], [51.0,-0.0], [147.0,-0.7853662757263524], [56.0,-0.668267373931735], [111.0,-0.7356101480176755], [141.0,-0.7374539410959141], [56.0,-0.668267373931735]]", 57
399, 2.956406829, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [240.0,-1.4038775219494106]]", 57
456, 3.1746704180000003, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
513, 3.4587693940000004, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
570, 3.809235429, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
627, 4.165524142000001, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
684, 4.490338659, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0]]", 57
741, 4.935517759000001, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0]]", 57
798, 5.361816002, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0]]", 57
855, 5.655022897, "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528]]", "[[0.0,-0.0], [436.0,-1.733845988961419], [217.0,-1.520976423744028], [50.0,-0.1975609756097561], [172.0,-1.061951641580011], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [112.0,-0.8558169348681528], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0]]", 57
