NFE, Elapsed Time, Approximation Set, Population, Population Size
57, 1.602203255, "[[0.0,-0.0], [114.0,-0.668267373931735], [127.0,-0.7590946765943047]]", "[[0.0,-0.0], [151.0,-0.0], [0.0,-0.0], [0.0,-0.0], [267.0,-0.0], [0.0,-0.0], [114.0,-0.0], [0.0,-0.0], [109.0,-0.0], [275.0,-0.30110728587030006], [183.0,-0.3099130434782609], [111.0,-0.0], [114.0,-0.668267373931735], [0.0,-0.0], [129.0,-0.0], [139.0,-0.1202067868504772], [139.0,-0.1202067868504772], [136.0,-0.0], [0.0,-0.0], [145.0,-0.0], [0.0,-0.0], [0.0,-0.0], [177.0,-0.0], [135.0,-0.1202067868504772], [0.0,-0.0], [129.0,-0.0], [0.0,-0.0], [172.0,-0.0], [121.0,-0.0], [0.0,-0.0], [135.0,-0.0], [147.0,-0.1202067868504772], [164.0,-0.2128695652173913], [0.0,-0.0], [141.0,-0.0], [0.0,-0.0], [161.0,-0.0], [0.0,-0.0], [110.0,-0.0], [116.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [346.0,-0.37909961064243997], [148.0,-0.0], [263.0,-0.668267373931735], [127.0,-0.7590946765943047], [0.0,-0.0], [0.0,-0.0], [142.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [144.0,-0.1202067868504772], [0.0,-0.0], [176.0,-0.11289051636228795]]", 57
114, 1.890822196, "[[0.0,-0.0], [127.0,-0.7590946765943047], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [127.0,-0.7590946765943047], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [56.0,-0.668267373931735], [51.0,-0.0], [56.0,-0.668267373931735], [114.0,-0.668267373931735], [53.0,-0.0], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [99.0,-0.3099130434782609], [53.0,-0.0], [263.0,-0.668267373931735], [55.0,-0.0], [183.0,-0.3099130434782609], [83.0,-0.2765853658536585], [66.0,-0.07676865671641792], [83.0,-0.2765853658536585], [83.0,-0.2765853658536585], [56.0,-0.0], [449.0,-0.668267373931735], [346.0,-0.37909961064243997], [135.0,-0.1202067868504772], [275.0,-0.30110728587030006], [164.0,-0.2128695652173913], [222.0,-0.2765853658536585], [74.0,-0.02348452857662905], [56.0,-0.0], [56.0,-0.0], [74.0,-0.02348452857662905], [57.0,-0.0], [367.0,-0.3099130434782609]]", 57
171, 2.326105982, "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [203.0,-0.7853662757263524], [56.0,-0.668267373931735], [127.0,-0.7590946765943047], [56.0,-0.668267373931735], [114.0,-0.668267373931735], [53.0,-0.0], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [99.0,-0.3099130434782609], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [62.0,-0.30110728587030006], [53.0,-0.0], [54.0,-0.0], [199.0,-0.668267373931735], [183.0,-0.3099130434782609], [83.0,-0.2765853658536585], [66.0,-0.07676865671641792], [83.0,-0.2765853658536585], [83.0,-0.2765853658536585], [83.0,-0.2765853658536585]]", 57
228, 2.695587305, "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [203.0,-0.7853662757263524], [56.0,-0.668267373931735], [127.0,-0.7590946765943047], [56.0,-0.668267373931735], [286.0,-0.7853662757263524], [52.0,-0.0], [114.0,-0.668267373931735], [256.0,-0.7356101480176755], [99.0,-0.3099130434782609], [59.0,-0.1202067868504772], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [53.0,-0.0]]", 57
285, 2.9636263140000003, "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [118.0,-0.9693746598020351], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [310.0,-0.9484797132350669], [56.0,-0.668267373931735], [197.0,-0.8558169348681528], [127.0,-0.7590946765943047], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [51.0,-0.0], [203.0,-0.7853662757263524]]", 57
342, 3.218947575, "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [51.0,-0.0], [310.0,-0.9484797132350669]]", 57
399, 3.4249341710000003, "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524]]", 57
456, 3.7146295080000002, "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524]]", 57
513, 4.0645769970000005, "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [203.0,-1.012195513871334], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524]]", 57
570, 4.458868848000001, "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [240.0,-1.0455231914959364], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [203.0,-1.012195513871334], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [240.0,-1.0455231914959364], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [203.0,-1.012195513871334], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
627, 4.689955885000001, "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [240.0,-1.0455231914959364], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [203.0,-1.012195513871334], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [411.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [240.0,-1.0455231914959364], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [203.0,-1.012195513871334], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
684, 5.189479558, "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
741, 5.541765675000001, "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
798, 5.8245746480000005, "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958]]", "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [118.0,-0.9693746598020351], [155.0,-0.9781804174099958], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
855, 6.127082616, "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [155.0,-0.9781804174099958], [89.0,-0.7853662757263524], [103.0,-0.9331711236274316], [118.0,-0.9693746598020351]]", "[[0.0,-0.0], [188.0,-1.0952793192046133], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [155.0,-0.9781804174099958], [89.0,-0.7853662757263524], [103.0,-0.9331711236274316], [118.0,-0.9693746598020351], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
